NDB_No;Shrt_Desc;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Iron_(mg);Cholestrl_(mg)
13389;"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,CHOIC,CKD,RSTD";568;253;2753;15;0;0;;282;81
13390;"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,SEL,CKD,RSTD";593;220;2753;114;0;0;;282;81
13149;BEEF,RIB,SHORTRIBS,LN ONLY,CHOIC,RAW;6938;173;1905;1019;0;0;;216;59
13148;BEEF,RIB,SHORTRIBS,LN&FAT,CHOIC,CKD,BRSD;3572;471;2157;4198;0;0;0;231;94
13147;BEEF,RIB,SHORTRIBS,LN&FAT,CHOIC,RAW;4829;388;144;3623;0;0;;155;76
13150;BEEF,RIB,SHORTRIBS,LN,CHOIC,CKD,BRSD;5015;295;3076;1813;0;0;0;336;93
13391;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,ALL GRDS,CKD,BRLD";5752;249;2727;1474;0;0;0;175;89
13392;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,CHOIC,CKD,BRLD";5108;312;2473;2284;0;0;;228;83
13393;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,SEL,CKD,BRLD";5279;285;2491;1979;0;0;;23;83
13851;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BR";5365;291;2585;2004;0;0;0;166;97
13852;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,RS";4897;341;2254;2714;0;0;;242;83
13850;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,RAW";6105;254;1933;1906;0;0;0;139;81
13854;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD";5293;304;2453;2209;0;0;0;164;94
13855;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD";4718;359;2228;2921;0;0;;239;83
13853;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,RAW";6011;263;1909;2013;0;0;0;138;80
13860;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,CKD,BRLD";4736;354;2413;2786;0;0;;223;83
13861;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,CKD,RSTD";4182;411;2215;3512;0;0;;195;84
13859;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,RAW";5322;335;1674;2918;0;0;;177;70
13857;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD";5436;278;2717;18;0;0;0;167;103
13858;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD";5084;323;2276;2502;0;0;;244;83
13856;"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,RAW";62;246;1956;18;0;0;0;14;85
13394;"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,ALL GRDS,CKD,BRLD";6259;193;2941;753;0;0;0;187;91
13395;"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,CHOIC,CKD,BRLD";587;225;2804;117;0;0;;257;80
13396;"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,SEL,CKD,BRLD";603;198;2804;87;0;0;;257;80
23638;"BEEF,RIB,SML END (RIBS 10-12),LN,1/8"" FAT,ALL GRDS,CKD,BRLD";6427;195;2958;763;0;0;0;188;87
23599;"BEEF,RIB,SML END (RIBS 10-12),LN,1/8"" FAT,ALL GRDS,RAW";6995;141;2233;504;0;0;0;16;75
23623;"BEEF,RIB,SML END (RIBS 10-12),LN,1/8"" FAT,CHOIC,RAW";7128;148;2212;591;0;0;0;163;68
23586;"BEEF,RIB,SML END (RIBS 10-12),LN,1/8"" FAT,SEL,CKD,BRLD";6245;188;3087;622;0;0;0;191;98
23582;"BEEF,RIB,SML END (RIBS 10-12),LN,1/8"" FAT,SEL,RAW";729;134;2253;42;0;0;0;159;73
23626;"BEEF,RIB,SML END (RIBS 10-12),LN,1/8""FAT,CHOIC,CKD,BRLD";6222;202;2829;905;0;0;0;192;88
13825;"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD";4847;337;2242;2675;0;0;;219;82
13826;"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD";4812;351;2277;2811;0;0;;237;84
13824;"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,RAW";5524;306;1653;261;0;0;;174;70
13828;"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD";4733;352;2226;285;0;0;;218;82
13829;"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD";4687;365;226;2979;0;0;0;235;84
13827;"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,RAW";5385;322;1634;2793;0;0;;172;71
13834;"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,CKD,BRLD";4487;386;2195;3238;0;0;;213;85
13835;"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,CKD,RSTD";434;400;2257;337;0;0;;217;85
13833;"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,RAW";5151;355;1615;3166;0;0;;17;72
13831;"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD";5041;315;2273;242;0;0;;222;81
13832;"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD";499;330;231;2563;0;0;;241;84
13830;"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,RAW";5748;288;1675;2395;0;0;;177;70
23266;"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,ALL GRDS,CKD,GRILLED";5718;246;2466;157;153;0;0;307;76
23269;"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW";6731;180;197;106;151;0;0;264;64
23267;"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED";558;259;2424;1721;181;0;0;306;78
23270;"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW";665;187;1946;114;175;0;0;264;64
23268;"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED";5926;226;2528;1343;11;0;0;322;73
23271;"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,SEL,RAW";6853;169;2005;939;115;0;0;295;63
23272;"BEEF,RIBEYE FILET,BNLESS,LN,0"" FAT,ALL GRDS,CKD,GRILLED";6074;199;2877;92;17;0;0;277;82
23273;"BEEF,RIBEYE FILET,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED";5975;208;2835;1026;51;0;0;276;82
23274;"BEEF,RIBEYE FILET,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED";6222;186;2939;761;0;0;0;356;82
23263;"BEEF,RIBEYE PETITE ROAST/FILET,BNLESS,LN,0"" FAT,ALL GRDS,RAW";7157;133;2266;466;4;0;0;228;65
23264;"BEEF,RIBEYE PETITE ROAST/FILET,BNLESS,LN,0"" FAT,CHOIC,RAW";7099;138;2252;529;18;0;0;227;65
23265;"BEEF,RIBEYE PETITE ROAST/FILET,BNLESS,LN,0"" FAT,SEL,RAW";7246;125;2289;372;0;0;0;217;65
23275;"BEEF,RIBEYE PETITE RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD,RSTD";6352;178;2815;731;0;0;0;268;85
23276;"BEEF,RIBEYE PETITE RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD";6252;188;28;842;0;0;0;265;83
23277;"BEEF,RIBEYE PETITE RST,BNLESS,LN,0"" FAT,SEL,CKD,RSTD";6502;164;2837;565;0;0;0;346;89
13952;"BEEF,RIBEYE,SML END(RIBS 10-12),LN&FAT,0"",ALL GRDS,CKD,BRLD";5752;249;2727;1474;0;0;0;175;89
13414;"BEEF,RND,BTTM RND RST,LN,0"" FAT,SEL,CKD,RSTD";659;169;2829;533;0;0;0;235;76
23590;"BEEF,RND,BTTM RND RST,LN,1/8"" FAT,SEL,CKD,RSTD";6661;164;2845;467;0;0;0;235;74
13399;"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD";6446;187;2742;772;0;0;0;224;79
13402;"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,CHOIC,CKD,RSTD";6354;199;2676;937;0;0;0;22;81
13405;"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,SEL,CKD,RSTD";6537;175;2808;606;0;0;0;228;77
13870;"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD";616;218;2641;1164;0;0;0;216;85
13873;"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD";6109;223;2605;1244;0;0;0;215;86
13876;"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD";621;212;2677;1085;0;0;0;216;84
13408;"BEEF,RND,BTTM RND,RST,LN,0"" FAT,ALL GRDS,CKD,RSTD";6537;177;2776;648;0;0;0;233;77
23604;"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,ALL GRDS,CKD";6593;163;28;572;0;0;0;235;76
23594;"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,ALL GRDS,RAW";7258;128;2219;431;0;0;0;192;61
23619;"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,CHOIC,CKD,RSTD";6526;179;2756;677;0;0;0;243;77
23618;"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,CHOIC,RAW";7199;140;2222;496;0;0;0;206;62
23637;"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,SEL,RAW";7317;128;2218;366;0;0;0;19;59
13398;"BEEF,RND,BTTM RND,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRSD";5733;223;3356;886;0;0;0;272;95
13401;"BEEF,RND,BTTM RND,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRSD";5674;230;3273;10;0;0;0;271;96
13404;"BEEF,RND,BTTM RND,STEAK,LN & FAT,0"" FAT,SEL,CKD,BRSD";5792;217;3439;772;0;0;0;274;93
13869;"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRSD";5497;247;3276;1187;0;0;0;267;100
13868;"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW";6688;192;207;1154;0;0;0;174;73
13872;"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRSD";5427;254;3285;1256;0;0;0;27;101
13871;"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW";6632;198;2071;1215;0;0;0;184;75
13875;"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRSD";5567;240;3267;1119;0;0;0;264;98
13874;"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW";6744;187;2068;1093;0;0;0;163;72
13407;"BEEF,RND,BTTM RND,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRSD";5809;214;34;767;0;0;0;283;93
13410;"BEEF,RND,BTTM RND,STEAK,LN,0"" FAT,CHOIC,CKD,BRSD";5736;223;3308;903;0;0;0;293;95
13413;"BEEF,RND,BTTM RND,STEAK,LN,0"" FAT,SEL,CKD,BRSD";5882;206;3493;63;0;0;0;285;91
23605;"BEEF,RND,BTTM RND,STEAK,LN,1/8"" FAT,ALL GRDS,CKD,BRSD";5754;216;3434;773;0;0;0;287;94
23622;"BEEF,RND,BTTM RND,STEAK,LN,1/8"" FAT,CHOIC,CKD,BRSD";5644;228;3422;902;0;0;0;301;97
23593;"BEEF,RND,BTTM RND,STEAK,LN,1/8"" FAT,SEL,CKD,BRSD";5864;205;3446;643;0;0;0;285;92
23352;"BEEF,RND,EYE OF RD STEAK,BNLESS,L & F,0"" FT,CHOIC,CK,GRLLED";645;163;2979;483;0;0;0;191;76
13415;"BEEF,RND,EYE OF RND RST,BNLESS,L & F,0"" FAT,A GRDS,CKD,RSTD";6505;167;2966;446;0;0;0;184;76
23330;"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW";7309;124;2327;344;0;0;0;145;60
23331;"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW";7288;127;2326;374;0;0;0;147;58
13417;"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,RSTD";6592;162;2945;397;0;0;0;174;79
23332;"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,SEL,RAW";734;120;2328;3;0;0;0;137;62
13416;"BEEF,RND,EYE OF RND RST,BNLESS,LN & FT,0"" FAT,CHOIC,CKD,RSTD";645;171;2979;483;0;0;0;186;74
13418;"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD,RSTD";6535;163;2985;39;0;0;0;184;76
23360;"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,ALL GRDS,RAW";7343;121;2337;304;0;0;0;145;60
13419;"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD";6483;166;2994;426;0;0;0;186;74
23361;"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,CHOIC,RAW";7318;124;2335;338;0;0;0;147;58
13420;"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,SEL,CKD,RSTD";662;157;2952;343;0;0;0;174;79
23362;"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,SEL,RAW";7381;116;2341;252;0;0;0;137;62
23334;"BEEF,RND,EYE OF RND STEAK,BNLESS LN & FAT,0"" FAT,CHOIC,RAW";7281;127;2324;383;0;0;0;147;58
23335;"BEEF,RND,EYE OF RND STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW";7346;120;233;295;0;0;0;137;62
23333;"BEEF,RND,EYE OF RND STEAK,BNLESS,LN & FT,0"" FAT,ALL GRDS,RAW";7307;124;2326;348;0;0;0;145;60
23363;"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW";7343;121;2337;304;0;0;0;145;60
23382;"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED";6483;158;2994;426;0;0;0;191;76
23364;"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW";7318;124;2335;338;0;0;0;147;58
23383;"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED";662;149;2952;343;0;0;0;178;81
23365;"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,SEL,RAW";7381;116;2341;252;0;0;0;137;62
23381;"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FT,A GRDS,CKD,GRILLED";6535;155;2985;39;0;0;0;188;78
23353;"BEEF,RND,EYE OF RND STEAK,BNLS,LN & FAT,0"" FAT,SEL,CKD,GRLD";6592;154;2947;398;0;0;0;178;81
23351;"BEEF,RND,EYE OF RND STK,BNLESS,L & F,0"" F,A GRDS,CKD,GRILLED";6506;159;2966;447;0;0;0;188;78
13878;"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD";6197;208;2831;965;0;0;0;229;84
13877;"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,RAW";6931;166;2149;824;0;0;0;181;68
13880;"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD";6136;212;2848;1005;0;0;0;233;86
13879;"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,CHOIC,RAW";6857;173;2168;891;0;0;0;192;70
13882;"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD";6258;204;2813;926;0;0;0;224;83
13881;"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,SEL,RAW";7006;159;213;757;0;0;0;169;66
23598;"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,ALL GRDS,CKD,RSTD";6552;169;2973;471;0;0;0;246;76
23597;"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,ALL GRDS,RAW";7343;124;226;3;0;0;0;196;59
23620;"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,CHOIC,CKD,RSTD";6473;175;2987;53;0;0;0;261;78
23616;"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,CHOIC,RAW";7289;128;2288;338;0;0;0;212;60
23591;"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,SEL,CKD,RSTD";6631;163;2959;411;0;0;0;242;75
23635;"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,SEL,RAW";7397;119;2231;262;0;0;0;192;58
13865;"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD";5673;235;2754;1298;0;0;0;255;79
13864;"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,RAW";6544;195;2056;1192;0;0;0;199;62
13867;"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,SEL,CKD,BRLD";5849;218;2758;1108;0;0;0;256;79
13866;"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,SEL,RAW";6662;184;2056;1068;0;0;0;2;62
13156;"BEEF,RND,FULL CUT,LN,1/4""FAT,CHOIC,CKD,BRLD";605;191;2921;731;0;0;0;27;78
13158;"BEEF,RND,FULL CUT,LN,1/4""FAT,SEL,CKD,BRLD";6244;172;2925;522;0;0;;271;78
23061;"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW";7245;143;2093;589;0;0;0;196;59
23045;"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,CHOIC,RAW";7205;150;2074;685;0;0;0;194;58
23047;"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,SEL,RAW";7272;137;2098;521;0;0;0;201;59
23032;"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT 0"" FAT,SEL,RAW";7352;124;2196;324;0;0;0;238;61
23055;"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW";7325;129;2169;4;0;0;0;222;61
23030;"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,CHOIC,RAW";73;133;2141;466;0;0;0;214;61
23052;"BEEF,RND,OUT RND,BTTM RND,STK,LN & FAT,0"" FAT,SEL,CKD,GRLD";6576;166;2801;517;0;0;0;312;75
23051;"BEEF,RND,OUTSIDE RND,BTTM RND,STEAK,LN & FAT,0"" FAT,SEL,RAW";7328;129;2215;383;0;0;0;291;61
13883;"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,ALL GRDS,RAW";661;189;196;1167;0;0;;2;65
13885;"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,CHOIC,RAW";6543;199;1948;1283;0;0;0;199;65
13887;"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,SEL,RAW";6686;178;1974;1039;0;0;0;202;64
13421;"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD";6467;188;2679;821;0;0;0;218;78
13486;"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,ALL GRDS,RAW";7201;151;2048;701;0;0;0;169;62
13422;"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,CHOIC,CKD,RSTD";638;196;2701;89;0;0;0;222;80
13487;"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,CHOIC,RAW";714;156;2016;773;0;0;0;178;63
13423;"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,SEL,CKD,RSTD";6554;181;2657;753;0;0;0;215;76
13488;"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,SEL,RAW";7262;145;208;628;0;0;0;159;61
13884;"BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD";6156;219;2745;1134;0;0;0;281;82
13886;"BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD";6092;228;2727;1234;0;0;0;279;82
13888;"BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD";6231;210;2763;1024;0;0;0;283;82
13424;"BEEF,RND,TIP RND,RST,LN,0"" FAT,ALL GRDS,CKD,RSTD";6675;174;2753;62;0;0;0;23;74
23651;"BEEF,RND,TIP RND,RST,LN,0"" FAT,ALL GRDS,RAW";7448;126;2107;395;0;0;0;177;57
13425;"BEEF,RND,TIP RND,RST,LN,0"" FAT,CHOIC,CKD,RSTD";6562;176;2768;642;0;0;0;243;76
23652;"BEEF,RND,TIP RND,RST,LN,0"" FAT,CHOIC,RAW";7398;130;2076;455;0;0;0;192;58
13426;"BEEF,RND,TIP RND,RST,LN,0"" FAT,SEL,CKD,RSTD";6788;149;2737;438;0;0;0;226;71
23653;"BEEF,RND,TIP RND,RST,LN,0"" FAT,SEL,RAW";7499;122;2138;335;0;0;0;178;55
23327;"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW";7251;125;2345;35;0;0;0;233;62
23349;"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,CKD,RSTD";6399;163;3008;479;0;0;0;29;76
23328;"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW";7224;128;2346;381;0;0;0;235;62
23350;"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,RSTD";6514;157;3097;372;0;0;0;288;78
23329;"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,SEL,RAW";7293;121;2344;304;0;0;0;234;63
23378;"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD,RSTD";6496;162;3009;377;0;0;0;289;77
23357;"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,ALL GRDS,RAW";7296;121;2359;294;0;0;0;234;62
23379;"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD";6437;158;3024;411;6;0;0;291;76
23358;"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,CHOIC,RAW";7266;124;2359;326;0;0;0;235;61
23380;"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,SEL,CKD,RSTD";6587;150;2981;337;0;0;0;289;78
23359;"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,SEL,RAW";734;116;2359;245;0;0;0;234;63
23348;"BEEF,RND,TOP RND RST,BNLS,LN&FAT,0"" FAT,ALLGRD,CKD,RSTD";6456;160;299;449;0;0;0;288;77
23324;"BEEF,RND,TOP RND STEAK,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW";7264;124;2349;334;0;0;0;233;62
23325;"BEEF,RND,TOP RND STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW";7235;127;2349;366;0;0;0;235;62
23326;"BEEF,RND,TOP RND STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW";7308;120;2349;285;0;0;0;234;63
13491;"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,ALL GRDS,CKD,GRILLED";6428;162;3009;377;0;0;0;325;86
23354;"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW";7296;121;2359;294;0;0;0;234;62
13492;"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED";6437;166;3024;411;0;0;0;327;85
23355;"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW";7266;124;2359;326;0;0;0;235;61
13493;"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED";6587;158;2981;337;0;0;0;326;88
23356;"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,SEL,RAW";734;116;2359;245;0;0;0;234;63
13969;"BEEF,RND,TOP RND STEAK,BNLS,LN & FAT,0"" FAT,SEL,CKD,GRLD";6558;162;297;385;0;0;0;325;88
13893;"BEEF,RND,TOP RND STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD";5959;204;3067;9;0;0;0;253;90
13959;"BEEF,RND,TOP RND STK,BNLS,LN & FAT,0"" FAT,ALL GRDS,CKD,GRLD";6468;167;2996;428;0;0;0;324;86
13968;"BEEF,RND,TOP RND STK,BNLS,LN & FAT,0"" FAT,CHOIC,CKD,GRLD";6409;170;3012;462;0;0;0;326;86
13428;"BEEF,RND,TOP RND,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD";579;209;3562;631;0;0;0;327;90
13430;"BEEF,RND,TOP RND,LN&FAT,0""FAT,CHOIC,CKD,BRSD";5731;216;3562;709;0;0;0;327;90
13432;"BEEF,RND,TOP RND,LN&FAT,0""FAT,SEL,CKD,BRSD";5849;200;3562;533;0;0;0;327;90
13892;"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD";5468;238;3434;1013;0;0;0;316;90
13895;"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD";5383;250;3409;1161;0;0;0;314;90
13897;"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,PAN-FRIED";5236;266;3299;1383;0;0;0;297;97
13901;"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,PRIME,RAW";6873;173;2224;867;0;0;0;204;59
13899;"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,SEL,CKD,BRSD";5563;225;346;854;0;0;0;318;90
13436;"BEEF,RND,TOP RND,LN,0""FAT,CHOIC,CKD,BRSD";581;207;3612;58;0;0;0;332;90
13438;"BEEF,RND,TOP RND,LN,0""FAT,SEL,CKD,BRSD";593;190;3612;4;0;0;0;332;90
13890;"BEEF,RND,TOP RND,LN,1/8"" FAT,CHOIC,CKD,PAN-FRIED";5418;228;3393;833;203;0;0;34;102
13891;"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW";6904;166;2206;793;0;0;0;185;69
13896;"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRLD";5846;224;307;1027;0;0;0;254;92
13894;"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW";688;168;2194;819;0;0;0;197;69
13902;"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,PRIME,CKD,BRLD";5951;225;3127;101;0;0;0;284;84
13900;"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRLD";6072;201;3063;773;0;0;0;252;87
13898;"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW";6929;164;2218;768;0;0;0;174;68
