NDB_No;Shrt_Desc;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Iron_(mg);Cholestrl_(mg)
9039;AVOCADOS,RAW,FLORIDA;7881;120;223;1006;782;56;242;17;0
3017;Babyfood, meat, turkey sticks, junior;698;188;137;142;14;2;14;92;65
3115;BABYFOOD,APPLS,DICES,TODD;875;51;2;1;121;9;1083;2;0
43546;BABYFOOD,BANANA NO TAPIOCA,STR;767;91;1;2;2134;16;1136;3;0
3145;BABYFOOD,FRUIT,APPLSAUC & CHERRIES,JR;856;51;0;0;141;11;1061;3;0
3143;BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR;869;47;2;2;124;18;872;26;0
3142;BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR;877;44;2;2;1164;18;925;25;0
3144;BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR;8563;51;0;0;141;11;1081;3;0
3117;BABYFOOD,FRUIT,APPLSAUC,JR;895;37;0;0;103;17;848;22;0
3116;BABYFOOD,FRUIT,APPLSAUC,STR;886;41;2;2;108;17;987;22;0
3128;BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR;821;63;3;0;173;15;14;27;0
3118;BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR;831;60;3;0;163;15;141;3;0
3129;BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR;84;56;4;1;153;16;38;2;0
3131;BABYFOOD,FRUIT,PEACHES,JR;8365;65;94;33;1448;13;115;23;0
3130;BABYFOOD,FRUIT,PEACHES,STR;8365;65;94;33;1448;13;115;23;0
3159;BABYFOOD,FRUIT,PEARS&PNAPPL,JR;878;44;3;2;114;26;736;21;0
3158;BABYFOOD,FRUIT,PEARS&PNAPPL,STR;885;41;3;1;109;26;779;25;0
3133;BABYFOOD,FRUIT,PEARS,JR;878;44;3;1;116;28;734;25;0
3132;BABYFOOD,FRUIT,PEARS,STR;884;42;3;2;108;28;698;24;0
3135;BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR;792;74;1;0;205;12;1364;22;0
3134;BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR;80;71;1;0;197;12;1334;2;0
3137;BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR;801;70;6;1;187;27;1097;33;0
3136;BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR;803;69;6;1;185;27;1097;35;0
3093;BABYFOOD,GRN BNS,DICES,TODD;926;29;12;2;57;13;106;4;0
3003;BABYFOOD,MEAT,BF,JR;8244;81;1203;252;243;0;0;98;51
3002;BABYFOOD,MEAT,BF,STR;8244;81;1203;252;243;0;0;98;51
3014;BABYFOOD,MEAT,CHICK STKS,JR;683;188;146;144;15;2;14;156;78
3013;BABYFOOD,MEAT,CHICK,JR;76;146;14;96;0;0;0;99;59
3012;BABYFOOD,MEAT,CHICK,STR;775;130;137;79;1;0;0;14;61
3009;BABYFOOD,MEAT,HAM,JUNIOR;805;97;113;38;37;0;0;101;29
3008;BABYFOOD,MEAT,HAM,STR;805;97;113;38;37;0;0;103;24
3011;BABYFOOD,MEAT,LAMB,JUNIOR;796;112;152;52;0;0;0;166;38
3010;BABYFOOD,MEAT,LAMB,STR;8106;87;1407;341;85;0;0;119;36
3021;BABYFOOD,MEAT,MEAT STKS,JR;695;184;134;146;11;2;8;138;70
3007;BABYFOOD,MEAT,PORK,STR;784;124;14;71;0;0;0;1;48
3016;BABYFOOD,MEAT,TURKEY,JR;8032;111;115;62;14;0;0;7;58
3015;BABYFOOD,MEAT,TURKEY,STR;8032;111;115;62;14;0;0;7;58
3005;BABYFOOD,MEAT,VEAL,STR;8237;81;1312;245;151;0;0;76;33
